Function,Algorithm,Mean,StdDev,Rank
F3_CEC2017,FSRO_Variant3,607.6642185,241.4655159,6
F3_CEC2017,FSRO_Variant4,4175.400704,2483.389828,13
F3_CEC2017,FSRO_Variant5,3737.769267,1479.209791,12
F3_CEC2017,DE,458.1809997,135.7522623,4
F3_CEC2017,GWO,577.2895903,164.0623437,5
F3_CEC2017,HHO,2687.159916,4.55e-13,9
F3_CEC2017,MFO,1065.425645,657.9218802,7
F3_CEC2017,PSO,423.9013807,138.1964534,3
F3_CEC2017,SMA,4730.098687,2670.668524,14
F3_CEC2017,WOA,2687.159916,4.55e-13,9
F4_CEC2017,FSRO_Original,32310.74377,11926.2753,13
F4_CEC2017,FSRO_Modified,470.8320434,16.71868854,2
F4_CEC2017,FSRO_Variant1,23108.48041,7620.696892,10
F4_CEC2017,FSRO_Variant2,436.3106685,4.812121161,1
F4_CEC2017,FSRO_Variant3,9956.961941,5958.214713,7
F4_CEC2017,FSRO_Variant4,25880.68711,8710.593444,11
F4_CEC2017,FSRO_Variant5,30134.93573,7463.938225,12
F4_CEC2017,DE,4390.38699,3043.747683,4
F4_CEC2017,GWO,5077.08518,2457.234198,5
F4_CEC2017,HHO,21946.04041,3.64e-12,8
F4_CEC2017,MFO,6921.053548,6745.471654,6
F4_CEC2017,PSO,2125.997217,2219.000457,3
F4_CEC2017,SMA,36084.975,10138.08646,14
F4_CEC2017,WOA,21946.04041,3.64e-12,8
F5_CEC2017,FSRO_Original,500.0276171,0.0189326,10
F5_CEC2017,FSRO_Modified,500.0000127,5.47e-05,1
F5_CEC2017,FSRO_Variant1,500.0043718,0.004543094,6
F5_CEC2017,FSRO_Variant2,500.0000989,0.000561276,2
F5_CEC2017,FSRO_Variant3,500.0052625,0.007205033,7
F5_CEC2017,FSRO_Variant4,500.0256967,0.014307829,9
F5_CEC2017,FSRO_Variant5,500.0632871,0.030909996,13
F5_CEC2017,DE,500.0001623,0.00035889,3
F5_CEC2017,GWO,500.0070699,0.003557996,8
F5_CEC2017,HHO,500.0518371,5.68e-14,11
F5_CEC2017,MFO,500.0028564,0.004554243,5
F5_CEC2017,PSO,500.000343,0.00072061,4
F5_CEC2017,SMA,500.092948,0.052354613,14
F5_CEC2017,WOA,500.0518371,5.68e-14,11
F6_CEC2017,FSRO_Original,661699.3421,266454.9001,12
F6_CEC2017,FSRO_Modified,670.6737213,14.21249545,2
F6_CEC2017,FSRO_Variant1,481269.2695,223643.8894,8
F6_CEC2017,FSRO_Variant2,660.6115762,6.234319154,1
F6_CEC2017,FSRO_Variant3,205971.3897,99761.86416,7
F6_CEC2017,FSRO_Variant4,662878.0191,261339.8929,13
F6_CEC2017,FSRO_Variant5,637547.4101,199243.1202,9
F6_CEC2017,DE,121886.8471,93040.161,4
F6_CEC2017,GWO,160858.6868,52032.16017,6
F6_CEC2017,HHO,638100.0171,1.16e-10,10
F6_CEC2017,MFO,156932.0972,163077.8212,5
F6_CEC2017,PSO,41905.10819,47116.28466,3
F6_CEC2017,SMA,817998.0907,307922.7743,14
F6_CEC2017,WOA,638100.0171,1.16e-10,10
F7_CEC2017,FSRO_Original,934.2188729,67.40896397,10
F7_CEC2017,FSRO_Modified,726.7056369,9.689746288,1
F7_CEC2017,FSRO_Variant1,859.763943,64.04758275,7
F7_CEC2017,FSRO_Variant2,800.7791477,35.24896279,4
F7_CEC2017,FSRO_Variant3,817.8742962,36.50511893,5
F7_CEC2017,FSRO_Variant4,928.4111779,41.10856649,9
F7_CEC2017,FSRO_Variant5,996.8327461,48.11866592,11
F7_CEC2017,DE,748.9086432,18.73935359,2
F7_CEC2017,GWO,922.6123549,57.35464508,8
F7_CEC2017,HHO,1062.83005,2.27e-13,13
F7_CEC2017,MFO,847.8409486,58.07903963,6
F7_CEC2017,PSO,777.456554,29.08513158,3
