Function,Algorithm,Mean,StdDev,Min,Max
F5_CEC2017,FSRO_Variant4,500.0256966722946,0.014307829340691,500.0019278948407,500.06785461619154
F5_CEC2017,FSRO_Variant5,500.06328707391935,0.0309099963348321,500.0172594962572,500.1493398475811
F5_CEC2017,DE,500.0001622669851,0.0003588899655388,500.00000000741113,500.00209829017433
F5_CEC2017,GWO,500.0070698891991,0.0035579955978893,500.0021149220339,500.0140742835877
F5_CEC2017,HHO,500.051837067772,5.684341886080804e-14,500.051837067772,500.051837067772
F5_CEC2017,MFO,500.0028564164557,0.0045542428478249,500.0000000512909,500.025412477786
F5_CEC2017,PSO,500.0003430101189,0.0007206096804556,500.0000000008724,500.0040948399514
F5_CEC2017,SMA,500.0929479953962,0.0523546130401227,500.0189077830993,500.2403155873823
F5_CEC2017,WOA,500.051837067772,5.684341886080804e-14,500.051837067772,500.051837067772
F6_CEC2017,FSRO_Original,661699.342127463,266454.90011296107,174039.9833246665,1552880.7460619698
F6_CEC2017,FSRO_Modified,670.6737213133804,14.212495450657483,635.9251343496709,722.4768446866001
F6_CEC2017,FSRO_Variant1,481269.2695442603,223643.8894421864,89998.38308853185,1049083.2697545872
F6_CEC2017,FSRO_Variant2,660.6115762477998,6.23431915433989,643.3719840994838,670.4140557293388
F6_CEC2017,FSRO_Variant3,205971.38972280148,99761.86416217254,35595.07045193324,430052.45009382337
F6_CEC2017,FSRO_Variant4,662878.0190934484,261339.8928697636,121968.9486377016,1331308.545450715
F6_CEC2017,FSRO_Variant5,637547.410076782,199243.1201989377,214638.26931603567,1097109.6750603288
F6_CEC2017,DE,121886.84708657308,93040.16100079769,8609.352987911978,442468.72923818335
F6_CEC2017,GWO,160858.68677073193,52032.16017422797,89768.20997887815,388143.29449084966
F6_CEC2017,HHO,638100.0170779,1.1641532182693479e-10,638100.0170778999,638100.0170778999
F6_CEC2017,MFO,156932.09720351058,163077.82120361188,9626.74422136534,745458.6893998323
F6_CEC2017,PSO,41905.10818583645,47116.28465537728,954.0532263628776,228664.2279546541
F6_CEC2017,SMA,817998.0907203209,307922.7743297752,214596.6859981003,1555118.6819667595
F6_CEC2017,WOA,638100.0170779,1.1641532182693479e-10,638100.0170778999,638100.0170778999
F7_CEC2017,FSRO_Original,934.2188728683292,67.40896397152139,806.0,1056.5
F7_CEC2017,FSRO_Modified,726.7056368979337,9.68974628798664,714.1161461593477,760.0016948750323
F7_CEC2017,FSRO_Variant1,859.7639430288334,64.04758275348544,750.5593628457835,996.5
F7_CEC2017,FSRO_Variant2,800.7791477321063,35.2489627934888,740.0000064302903,886.0
F7_CEC2017,FSRO_Variant3,817.874296198911,36.50511893080865,738.5596597639405,896.5
F7_CEC2017,FSRO_Variant4,928.4111779409468,41.10856649257053,830.5,1008.9908196045144
F7_CEC2017,FSRO_Variant5,996.832746114227,48.118665915092535,877.5,1133.8069058437145
F7_CEC2017,DE,748.90864323643,18.73935359037304,718.0721896685252,800.0
F7_CEC2017,GWO,922.612354940996,57.354645084319735,812.5000000083747,1081.4391458483296
F7_CEC2017,HHO,1062.8300502071595,2.273736754432321e-13,1062.83005020716,1062.83005020716
F7_CEC2017,MFO,847.8409485776486,58.07903962513894,750.0,978.5
F7_CEC2017,PSO,777.4565540458468,29.0851315833812,722.0,846.0
F7_CEC2017,SMA,1019.5211989381276,57.73163066690402,877.5,1185.0
